UnitPrice,SalesQuantity,ReturnQuantity,ProductDivision,ERPMasterGender,MainColorGroupDesc,USSize,OverallRating,ComfortRating,SizeRating,WidthRating,ReviewsCount,ReturnRate
22.65,16,4,Footwear,WNS,gray,7,5,5,3,3,1,0.25
23.37,24,4,Footwear,WNS,gray,8,5,5,3,3,1,0.17
34.39,10,2,Footwear,KIDS,red,8,4.040326087,3.970830217,2.953835227,2.950917797,0,0.2
51.16,23,1,Footwear,WNS,black,8.5,3.7,3,2.3,3.5,10,0.04
50.57,18,1,Footwear,WNS,black,6.5,3.7,3,2.3,3.5,10,0.06
48.6,33,1,Footwear,WNS,black,7.5,3.7,3,2.3,3.5,10,0.03
49.01,42,3,Footwear,WNS,black,8,3.7,3,2.3,3.5,10,0.07
24.27,24,3,Apparel,MNS,blue,M,4.040326087,3.970830217,2.953835227,2.950917797,0,0.12
43.5,3,1,Footwear,KIDS,blue,5,5,3,3,3,1,0.33
45,8,1,Footwear,KIDS,blue,7,5,3,3,3,1,0.12
45,5,1,Footwear,KIDS,pink,9,5,3,3,3,1,0.2
37.09,75,2,Footwear,MNS,black,10.5,3.2,3.3,3,2.7,10,0.03
34.9,133,3,Footwear,MNS,black,11,3.2,3.3,3,2.7,10,0.02
26.08,6,1,Apparel,WNS,black,S,4.040326087,3.970830217,2.953835227,2.950917797,0,0.17
27.34,13,4,Apparel,WNS,black,XS,5,5,3,3,2,0.31
27.09,39,6,Apparel,WNS,black,S,5,5,3,3,2,0.15
66.67,6,1,Footwear,MNS,white,11,3.8,3.6,2.8,3,8,0.17
67.82,6,1,Footwear,MNS,black,8.5,3.8,3.6,2.8,3,8,0.17
70,6,1,Footwear,MNS,white,13,3.8,3.6,2.8,3,8,0.17
68.09,11,1,Footwear,MNS,white,10,3.8,3.6,2.8,3,8,0.09
70,10,1,Footwear,MNS,black,9.5,3.8,3.6,2.8,3,8,0.1
70,4,1,Footwear,MNS,white,8.5,3.8,3.6,2.8,3,8,0.25
70,11,1,Footwear,MNS,white,10.5,3.8,3.6,2.8,3,8,0.09
70,4,1,Footwear,MNS,black,7.5,3.8,3.6,2.8,3,8,0.25
70,3,1,Footwear,MNS,white,8.5,3.8,3.6,2.8,3,8,0.33
69.12,8,1,Footwear,MNS,white,9,3.8,3.6,2.8,3,8,0.12
70,3,1,Footwear,MNS,white,7,3.8,3.6,2.8,3,8,0.33
69,7,1,Footwear,MNS,white,9,3.8,3.6,2.8,3,8,0.14
69.87,7,1,Footwear,MNS,white,13,3.8,3.6,2.8,3,8,0.14
70,6,1,Footwear,MNS,white,9.5,3.8,3.6,2.8,3,8,0.17
34.99,6,1,Footwear,KIDS,pink,6.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.17
23.72,13,1,Footwear,KIDS,white,5,5,3.970830217,2.953835227,2.950917797,1,0.08
19.9,64,1,Footwear,KIDS,black,5.5,5,3.970830217,2.953835227,2.950917797,1,0.02
19.78,32,2,Footwear,KIDS,black,7,4.040326087,3.970830217,2.953835227,2.950917797,0,0.06
19.61,13,1,Footwear,KIDS,black,1,4.3,4,2,2,3,0.08
21.22,15,2,Footwear,KIDS,black,11,4.3,4,2,2,3,0.13
24.64,24,1,Footwear,WNS,black,7,4.040326087,3.970830217,2.953835227,2.950917797,0,0.04
28.37,130,2,Footwear,MNS,black,11,4.1,3.7,3,2.7,14,0.02
26.56,70,2,Footwear,MNS,black,7,4.1,3.7,3,2.7,14,0.03
27.18,106,1,Footwear,MNS,black,8,4.1,3.7,3,2.7,14,0.01
28.95,190,3,Footwear,MNS,black,9.5,4.1,3.7,3,2.7,14,0.02
27.29,30,1,Footwear,MNS,black,5,4.1,3.7,3,2.7,14,0.03
27.63,173,8,Footwear,MNS,black,9,4.1,3.7,3,2.7,14,0.05
31.54,42,2,Footwear,MNS,black,14,4.1,3.7,3,2.7,14,0.05
29.21,162,5,Footwear,MNS,black,8.5,4.1,3.7,3,2.7,14,0.03
28.71,175,2,Footwear,MNS,black,10.5,4.1,3.7,3,2.7,14,0.01
26.73,52,1,Footwear,MNS,black,13,4.1,3.7,3,2.7,14,0.02
27.79,187,3,Footwear,MNS,black,10,4.1,3.7,3,2.7,14,0.02
29.86,99,2,Footwear,MNS,black,12,4.1,3.7,3,2.7,14,0.02
60,3,1,Footwear,KIDS,black,6.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.33
38.5,2,1,Footwear,KIDS,white,1,4.040326087,3.970830217,2.953835227,2.950917797,0,0.5
36.49,8,4,Footwear,MNS,white,9.5,3.3,3.3,2.1,2.4,14,0.5
39.99,3,1,Footwear,MNS,white,9,3.3,3.3,2.1,2.4,14,0.33
33.99,4,1,Footwear,MNS,white,10,3.3,3.3,2.1,2.4,14,0.25
17.35,87,2,Apparel,WNS,gray,S,4.040326087,3.970830217,2.953835227,2.950917797,0,0.02
16.24,116,2,Apparel,WNS,gray,M,4.040326087,3.970830217,2.953835227,2.950917797,0,0.02
24.81,61,1,Footwear,MNS,black,7,3,3,3.2,3,6,0.02
25.1,37,1,Footwear,MNS,white,8.5,3,3,3.2,3,6,0.03
24.63,35,2,Footwear,MNS,white,11,3,3,3.2,3,6,0.06
25,2,1,Footwear,MNS,black,12,3,3,3.2,3,6,0.5
26.25,61,1,Footwear,MNS,black,8,3,3,3.2,3,6,0.02
24.66,34,1,Footwear,MNS,white,10.5,3,3,3.2,3,6,0.03
25.35,31,2,Footwear,MNS,white,8,3,3,3.2,3,6,0.06
26.1,39,1,Footwear,MNS,black,7.5,3,3,3.2,3,6,0.03
25.91,134,1,Footwear,MNS,black,11.5,3,3,3.2,3,6,0.01
9.26,121,1,Accessories,MNS,black,OSFA,4.040326087,3.970830217,2.953835227,2.950917797,0,0.01
16.73,22,1,Apparel,MNS,black,M,4.040326087,3.970830217,2.953835227,2.950917797,0,0.05
26.46,15,1,Apparel,WNS,gray,XL,1,3,3,3,1,0.07
29.59,12,1,Apparel,WNS,gray,S,1,3,3,3,1,0.08
29.86,36,4,Apparel,WNS,gray,M,1,3,3,3,1,0.11
6.27,75,1,Apparel,MNS,black,12-Oct,4.040326087,3.970830217,2.953835227,2.950917797,0,0.01
39.59,5,1,Footwear,WNS,black,5.5,5,5,3,3,1,0.2
37.12,15,2,Footwear,WNS,black,6,5,5,3,3,1,0.13
36.95,14,1,Footwear,WNS,black,6.5,5,5,3,3,1,0.07
34.66,3,1,Footwear,MNS,black,10,3.5,3,4,2.5,2,0.33
68.33,12,3,Footwear,MNS,black,9.5,4,3.2,3,2.7,6,0.25
70,7,2,Footwear,MNS,black,10,4,3.2,3,2.7,6,0.29
65.33,3,1,Footwear,MNS,white,5.5,4,3.2,3,2.7,6,0.33
67.67,3,1,Footwear,MNS,white,7,4,3.2,3,2.7,6,0.33
70,3,1,Footwear,MNS,white,8.5,4,3.2,3,2.7,6,0.33
67.2,5,1,Footwear,MNS,black,13,4,3.2,3,2.7,6,0.2
66.5,9,1,Footwear,MNS,black,7.5,4,3.2,3,2.7,6,0.11
70,3,1,Footwear,MNS,black,11.5,4,3.2,3,2.7,6,0.33
70,4,1,Footwear,MNS,white,10.5,4,3.2,3,2.7,6,0.25
68.6,5,1,Footwear,MNS,white,9.5,4,3.2,3,2.7,6,0.2
70,4,1,Footwear,MNS,white,9,4,3.2,3,2.7,6,0.25
70,8,1,Footwear,MNS,black,10.5,4,3.2,3,2.7,6,0.12
70,6,3,Footwear,MNS,white,11.5,4,3.2,3,2.7,6,0.5
24.5,4,1,Footwear,KIDS,blue,11,4.040326087,3.970830217,2.953835227,2.950917797,0,0.25
27,3,1,Footwear,KIDS,blue,11.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.33
48.07,13,1,Footwear,MNS,black,13,4.1,3.7,3,2.7,14,0.08
43.56,17,1,Footwear,MNS,black,10,4.1,3.7,3,2.7,14,0.06
38.41,24,1,Footwear,MNS,blue,8,4.1,3.7,3,2.7,14,0.04
37.84,41,2,Footwear,MNS,blue,8.5,4.1,3.7,3,2.7,14,0.05
39.18,37,1,Footwear,MNS,blue,9,4.1,3.7,3,2.7,14,0.03
38.7,32,1,Footwear,MNS,blue,9.5,4.1,3.7,3,2.7,14,0.03
37.5,44,3,Footwear,MNS,blue,10,4.1,3.7,3,2.7,14,0.07
39.12,46,3,Footwear,MNS,blue,10.5,4.1,3.7,3,2.7,14,0.07
38.93,34,2,Footwear,MNS,blue,11,4.1,3.7,3,2.7,14,0.06
36.99,26,1,Footwear,MNS,blue,11.5,4.1,3.7,3,2.7,14,0.04
38.33,41,4,Footwear,MNS,blue,13,4.1,3.7,3,2.7,14,0.1
28.06,77,2,Footwear,MNS,black,12,4.3,3.2,3.2,3,6,0.03
26.18,29,1,Footwear,MNS,black,7.5,4.3,3.2,3.2,3,6,0.03
32.27,9,1,Footwear,MNS,black,10.5,4,4.3,3,3.5,6,0.11
46.24,10,1,Footwear,WNS,white,9,3.3,3.2,2.6,2.8,9,0.1
44.16,6,1,Footwear,WNS,white,6.5,3.3,3.2,2.6,2.8,9,0.17
44.99,4,1,Footwear,WNS,black,6.5,3.3,3.2,2.6,2.8,9,0.25
43.99,5,1,Footwear,WNS,white,10,3.3,3.2,2.6,2.8,9,0.2
46.34,5,1,Footwear,WNS,white,5.5,3.3,3.2,2.6,2.8,9,0.2
45.99,20,2,Footwear,WNS,white,7.5,3.3,3.2,2.6,2.8,9,0.1
27.74,43,1,Footwear,MNS,black,12,3.8,3.5,3,2.6,5,0.02
34.18,15,1,Footwear,MNS,white,10.5,3.8,3.5,3,2.6,5,0.07
35.42,15,2,Footwear,MNS,white,11.5,3.8,3.5,3,2.6,5,0.13
47.36,19,2,Footwear,MNS,white,11,3.8,3.5,3,2.6,5,0.11
49.36,8,1,Footwear,MNS,white,10,3.8,3.5,3,2.6,5,0.12
26.19,32,1,Footwear,MNS,white,7,3.8,3.5,3,2.6,5,0.03
27.34,53,2,Footwear,MNS,white,11,3.8,3.5,3,2.6,5,0.04
29.39,5,1,Footwear,MNS,black,13,3.8,3.5,3,2.6,5,0.2
27.89,65,3,Footwear,MNS,black,11,3.8,3.5,3,2.6,5,0.05
25.93,124,1,Footwear,MNS,white,9,3.8,3.5,3,2.6,5,0.01
45.6,11,1,Footwear,MNS,white,8.5,3.8,3.5,3,2.6,5,0.09
26.64,136,3,Footwear,MNS,white,9.5,3.8,3.5,3,2.6,5,0.02
29.99,5,1,Footwear,MNS,black,4.5,3.8,3.5,3,2.6,5,0.2
26.47,40,2,Footwear,MNS,black,10.5,3.8,3.5,3,2.6,5,0.05
25.68,70,1,Footwear,MNS,white,10.5,3.8,3.5,3,2.6,5,0.01
37.99,5,2,Footwear,MNS,white,12,3.8,3.5,3,2.6,5,0.4
47.99,5,1,Footwear,MNS,white,14,3.8,3.5,3,2.6,5,0.2
43.74,4,2,Footwear,MNS,white,8,3.8,3.5,3,2.6,5,0.5
36.43,19,1,Footwear,MNS,white,11,3.8,3.5,3,2.6,5,0.05
47.01,23,1,Footwear,MNS,white,10.5,3.8,3.5,3,2.6,5,0.04
34.2,17,1,Footwear,MNS,white,10,3.8,3.5,3,2.6,5,0.06
28.33,32,1,Footwear,MNS,white,11.5,3.8,3.5,3,2.6,5,0.03
28.59,30,1,Footwear,MNS,black,11.5,3.8,3.5,3,2.6,5,0.03
27.15,42,1,Footwear,MNS,white,12,3.8,3.5,3,2.6,5,0.02
21.07,16,1,Footwear,KIDS,white,8,5,3.970830217,2.953835227,2.950917797,1,0.06
18.74,6,1,Footwear,KIDS,white,11,5,4,3,3,2,0.17
24.99,14,1,Footwear,KIDS,black,6,4.040326087,3.970830217,2.953835227,2.950917797,0,0.07
36.66,6,1,Footwear,KIDS,white,7,4.040326087,3.970830217,2.953835227,2.950917797,0,0.17
39.19,5,1,Footwear,KIDS,black,6.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.2
36.99,4,1,Footwear,KIDS,white,4.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.25
33.99,4,1,Footwear,KIDS,white,5.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.25
24.99,3,1,Footwear,KIDS,white,2,1,3.970830217,2.953835227,3,1,0.33
22.87,13,1,Footwear,KIDS,white,13,1,3.970830217,2.953835227,3,1,0.08
20.58,22,1,Footwear,KIDS,black,9,4.040326087,3.970830217,2.953835227,2.950917797,0,0.05
21.01,22,1,Footwear,KIDS,black,8,4.040326087,3.970830217,2.953835227,2.950917797,0,0.05
18.75,18,2,Footwear,KIDS,black,10,4.040326087,3.970830217,2.953835227,2.950917797,0,0.11
25.12,8,1,Footwear,KIDS,white,5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.12
20.81,25,1,Footwear,KIDS,black,7,4.040326087,3.970830217,2.953835227,2.950917797,0,0.04
17.77,8,1,Footwear,KIDS,blue,4.5,5,5,2.953835227,2.950917797,1,0.12
24.24,13,1,Footwear,KIDS,black,4,5,5,2.953835227,2.950917797,1,0.08
19.46,14,2,Footwear,KIDS,black,3.5,5,3.970830217,2.953835227,4,2,0.14
21.36,8,1,Footwear,KIDS,blue,1.5,5,3.970830217,2.953835227,4,2,0.12
19.7,7,1,Footwear,KIDS,blue,2.5,5,3.970830217,2.953835227,4,2,0.14
18.05,9,1,Footwear,KIDS,blue,3,5,3.970830217,2.953835227,4,2,0.11
21.24,17,2,Footwear,KIDS,black,2,5,4,3,3,3,0.12
22.21,34,1,Footwear,KIDS,black,12,5,4,3,3,3,0.03
19.43,17,2,Footwear,KIDS,black,3.5,5,4,3,3,3,0.12
19.52,21,1,Footwear,KIDS,black,6,4.040326087,3.970830217,2.953835227,2.950917797,0,0.05
20.2,30,1,Footwear,KIDS,black,1,5,4,3,3,3,0.03
21.71,22,2,Footwear,KIDS,black,11.5,5,4,3,3,3,0.09
20.12,12,1,Footwear,KIDS,black,3,5,4,3,3,3,0.08
22.21,47,4,Footwear,KIDS,black,11,5,4,3,3,3,0.09
18.9,68,3,Footwear,KIDS,black,7,4.040326087,3.970830217,2.953835227,2.950917797,0,0.04
19.12,73,4,Footwear,KIDS,black,8,4.040326087,3.970830217,2.953835227,2.950917797,0,0.05
18.44,34,1,Footwear,KIDS,black,10,4.040326087,3.970830217,2.953835227,2.950917797,0,0.03
25.39,26,1,Footwear,KIDS,black,4,4.040326087,3.970830217,2.953835227,2.950917797,0,0.04
26.32,29,2,Footwear,KIDS,black,4.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.07
27.46,25,1,Footwear,KIDS,black,5.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.04
26.78,7,2,Footwear,KIDS,blue,4.5,3.7,5,3,3,3,0.29
20,4,1,Footwear,KIDS,blue,2,3.5,3.5,3.3,3,4,0.25
28.99,29,1,Footwear,KIDS,blue,6,3.7,5,3,3,3,0.03
28.9,11,1,Footwear,KIDS,blue,5,3.7,5,3,3,3,0.09
34.21,110,1,Footwear,MNS,white,10.5,3.9,4,3,3.3,8,0.01
34.98,58,2,Footwear,MNS,white,13,3.9,4,3,3.3,8,0.03
35.57,58,2,Footwear,MNS,white,11.5,3.9,4,3,3.3,8,0.03
33.83,20,1,Footwear,MNS,white,7,3.9,4,3,3.3,8,0.05
33.42,46,1,Footwear,MNS,white,8,3.9,4,3,3.3,8,0.02
35.15,19,1,Footwear,MNS,black,11.5,3.9,4,3,3.3,8,0.05
34.11,24,1,Footwear,MNS,black,8.5,3.9,4,3,3.3,8,0.04
34.99,20,3,Footwear,MNS,black,13,3.9,4,3,3.3,8,0.15
34.7,18,1,Footwear,MNS,black,14,3.9,4,3,3.3,8,0.06
34.13,51,2,Footwear,MNS,white,12,3.9,4,3,3.3,8,0.04
35.13,29,1,Footwear,MNS,white,14,3.9,4,3,3.3,8,0.03
35.02,20,1,Footwear,MNS,black,7,3.9,4,3,3.3,8,0.05
34.04,100,4,Footwear,MNS,white,9,3.9,4,3,3.3,8,0.04
34.07,47,1,Footwear,MNS,white,8.5,3.9,4,3,3.3,8,0.02
34.1,87,1,Footwear,MNS,white,9.5,3.9,4,3,3.3,8,0.01
34.36,38,1,Footwear,MNS,black,9.5,3.9,4,3,3.3,8,0.03
34.66,21,1,Footwear,MNS,black,12,3.9,4,3,3.3,8,0.05
34.24,34,2,Footwear,MNS,white,7.5,3.9,4,3,3.3,8,0.06
34.57,25,2,Footwear,MNS,black,8,3.9,4,3,3.3,8,0.08
34.25,98,2,Footwear,MNS,white,10,3.9,4,3,3.3,8,0.02
44.23,59,4,Footwear,WNS,black,6,3,3.970830217,3,2.950917797,1,0.07
24.42,20,1,Footwear,KIDS,black,4,5,4,3,3,1,0.05
26.58,30,2,Footwear,KIDS,black,5,5,4,3,3,1,0.07
26.09,8,2,Footwear,KIDS,black,11,2.2,3.5,3,2.5,4,0.25
22.58,17,3,Footwear,KIDS,black,12,2.2,3.5,3,2.5,4,0.18
22.5,5,1,Footwear,KIDS,black,12.5,2.2,3.5,3,2.5,4,0.2
68,11,1,Footwear,MNS,black,8,3.5,2,3,2.4,11,0.09
63.7,5,1,Footwear,MNS,black,6,3.5,2,3,2.4,11,0.2
70,3,1,Footwear,MNS,white,6.5,3.5,2,3,2.4,11,0.33
68.25,8,1,Footwear,MNS,black,7.5,3.5,2,3,2.4,11,0.12
69.66,12,1,Footwear,MNS,white,11,3.5,2,3,2.4,11,0.08
68.35,17,2,Footwear,MNS,black,10.5,3.5,2,3,2.4,11,0.12
68.76,17,2,Footwear,MNS,white,10.5,3.5,2,3,2.4,11,0.12
62,21,1,Footwear,MNS,black,13,3.5,2,3,2.4,11,0.05
65.45,20,4,Footwear,MNS,black,10,3.5,2,3,2.4,11,0.2
69,14,4,Footwear,MNS,black,9.5,3.5,2,3,2.4,11,0.29
68.16,17,3,Footwear,MNS,white,8.5,3.5,2,3,2.4,11,0.18
62.42,12,1,Footwear,MNS,black,9,3.5,2,3,2.4,11,0.08
69.7,11,2,Footwear,MNS,black,8.5,3.5,2,3,2.4,11,0.18
68.25,16,2,Footwear,MNS,black,11,3.5,2,3,2.4,11,0.12
69.56,16,1,Footwear,MNS,black,12,3.5,2,3,2.4,11,0.06
70,6,1,Footwear,MNS,white,8,3.5,2,3,2.4,11,0.17
70,4,1,Footwear,MNS,white,11.5,3.1,3.4,2.7,2.5,16,0.25
16.85,52,1,Accessories,MNS,black,L/XL,3,1,1,1,1,0.02
20,22,1,Accessories,MNS,black,OSFA,4.040326087,3.970830217,2.953835227,2.950917797,0,0.05
19.54,74,2,Accessories,MNS,black,OSFA,4.040326087,3.970830217,2.953835227,2.950917797,0,0.03
24.03,118,4,Footwear,KIDS,white,12,4.040326087,3.970830217,2.953835227,2.950917797,0,0.03
23.79,66,4,Footwear,KIDS,white,12.5,4.040326087,3.970830217,2.953835227,2.950917797,0,0.06
24.19,128,4,Footwear,KIDS,white,13,4.040326087,3.970830217,2.953835227,2.950917797,0,0.03
24.25,131,3,Footwear,KIDS,white,1,4.040326087,3.970830217,2.953835227,2.950917797,0,0.02
23.92,91,3,Footwear,KIDS,white,2,4.040326087,3.970830217,2.953835227,2.950917797,0,0.03
24.27,91,4,Footwear,KIDS,white,3,4.040326087,3.970830217,2.953835227,2.950917797,0,0.04
24.77,140,4,Footwear,KIDS,white,11,4.040326087,3.970830217,2.953835227,2.950917797,0,0.03
28.24,44,2,Footwear,MNS,blue,10,4.3,3.2,3.2,3,6,0.05
27.67,27,1,Footwear,MNS,blue,11,4.3,3.2,3.2,3,6,0.04
27.98,16,1,Footwear,MNS,blue,13,4.3,3.2,3.2,3,6,0.06
30.13,33,2,Footwear,MNS,white,11,3.5,2.9,2.8,2.4,22,0.06
27.45,41,3,Footwear,MNS,white,10,3.5,2.9,2.8,2.4,22,0.07
29.6,25,1,Footwear,MNS,white,10.5,3.5,2.9,2.8,2.4,22,0.04
28.83,19,2,Footwear,MNS,white,11.5,3.5,2.9,2.8,2.4,22,0.11
29.27,25,2,Footwear,MNS,white,9.5,3.5,2.9,2.8,2.4,22,0.08
28.15,15,1,Footwear,MNS,white,13,3.5,2.9,2.8,2.4,22,0.07
27.56,68,2,Footwear,MNS,black,9,3.5,2.9,2.8,2.4,22,0.03
24.83,9,1,Footwear,MNS,white,7,3.5,2.9,2.8,2.4,22,0.11
26.15,41,3,Footwear,MNS,black,9.5,3.5,2.9,2.8,2.4,22,0.07
25.22,22,1,Footwear,MNS,white,10.5,3.5,2.9,2.8,2.4,22,0.05
30.45,26,1,Footwear,MNS,white,10,3.5,2.9,2.8,2.4,22,0.04
28.21,25,3,Footwear,MNS,black,7.5,3.5,2.9,2.8,2.4,22,0.12
27.8,29,1,Footwear,MNS,black,8,3.5,2.9,2.8,2.4,22,0.03
28.6,40,3,Footwear,MNS,black,8.5,3.5,2.9,2.8,2.4,22,0.08
29.74,11,1,Footwear,MNS,white,8,3.5,2.9,2.8,2.4,22,0.09
27.51,25,1,Footwear,MNS,white,11,3.5,2.9,2.8,2.4,22,0.04
28.85,7,1,Footwear,MNS,white,7,3.5,2.9,2.8,2.4,22,0.14
22.07,15,1,Footwear,KIDS,black,5,4.7,4,2.953835227,2.950917797,3,0.07
22.36,9,1,Footwear,KIDS,black,4,4.7,4,2.953835227,2.950917797,3,0.11
18.44,39,3,Footwear,KIDS,blue,10,2.8,2.5,2,2,5,0.08
18.69,25,5,Footwear,KIDS,blue,7,2.8,2.5,2,2,5,0.2
17.79,37,3,Footwear,KIDS,blue,8,2.8,2.5,2,2,5,0.08
18,26,4,Footwear,KIDS,blue,9,2.8,2.5,2,2,5,0.15
19.26,21,2,Footwear,KIDS,white,12,3.7,2,4,1,3,0.1
30.15,184,8,Footwear,MNS,black,11.5,3.5,4.1,2.6,2.5,8,0.04
22.33,12,2,Footwear,KIDS,black,1,3.7,2,4,1,3,0.17
18.14,14,1,Footwear,KIDS,blue,1,3.7,2,4,1,3,0.07
18.66,12,2,Footwear,KIDS,white,13,3.7,2,4,1,3,0.17
18.05,22,2,Footwear,KIDS,blue,6,2.8,2.5,2,2,5,0.09
31.24,139,1,Footwear,MNS,black,12,3.5,4.1,2.6,2.5,8,0.01
18.56,14,1,Footwear,KIDS,blue,12,3.7,2,4,1,3,0.07
17.6,19,1,Footwear,KIDS,white,3,3.7,2,4,1,3,0.05
16.85,7,1,Footwear,KIDS,white,2.5,3.7,2,4,1,3,0.14
19.81,22,1,Footwear,KIDS,blue,9.5,2.8,2.5,2,2,5,0.05
20,14,1,Footwear,KIDS,black,13,3.7,2,4,1,3,0.07
17.56,14,2,Footwear,KIDS,blue,11,3.7,2,4,1,3,0.14
18.96,13,1,Footwear,KIDS,black,11,3.7,2,4,1,3,0.08
31.23,120,1,Footwear,MNS,black,11,3.5,4.1,2.6,2.5,8,0.01
19.39,10,2,Footwear,KIDS,black,12,3.7,2,4,1,3,0.2
21.66,6,1,Footwear,KIDS,black,2,3.7,2,4,1,3,0.17
18.05,18,3,Footwear,KIDS,white,11,3.7,2,4,1,3,0.17
19.1,11,1,Footwear,KIDS,black,3,3.7,2,4,1,3,0.09
17.5,4,2,Footwear,KIDS,blue,12.5,3.7,2,4,1,3,0.5
19.6,5,1,Footwear,KIDS,black,12.5,3.7,2,4,1,3,0.2
30.27,39,1,Footwear,MNS,white,9,4.1,4.1,3,3.4,9,0.03
33.99,10,1,Footwear,MNS,black,11,4.1,4.1,3,3.4,9,0.1
30.7,57,3,Footwear,MNS,black,11.5,4.1,4.1,3,3.4,9,0.05
33.63,14,1,Footwear,MNS,white,10.5,4.1,4.1,3,3.4,9,0.07
29.29,44,2,Footwear,MNS,white,8.5,4.1,4.1,3,3.4,9,0.05
32.41,12,2,Footwear,MNS,white,7.5,4.1,4.1,3,3.4,9,0.17
37.92,7,1,Footwear,MNS,black,7,5,5,3,3,1,0.14
33.95,11,1,Footwear,MNS,black,10,5,5,3,3,1,0.09
22.97,8,1,Footwear,KIDS,white,5.5,4,3.970830217,2.953835227,2.950917797,1,0.12
19.12,8,1,Footwear,KIDS,white,12,4,3.970830217,2.953835227,2,1,0.12
20.76,14,1,Footwear,KIDS,black,5.5,4,3.970830217,2.953835227,2.950917797,1,0.07
23.93,8,1,Footwear,KIDS,white,4,4,3.970830217,2.953835227,2.950917797,1,0.12
25.47,12,1,Footwear,KIDS,black,4,4,3.970830217,2.953835227,2.950917797,1,0.08
18.99,8,1,Footwear,KIDS,white,13,4,3.970830217,2.953835227,2,1,0.12
23.13,10,1,Footwear,KIDS,white,5,4,3.970830217,2.953835227,2.950917797,1,0.1
19.84,3,1,Footwear,KIDS,white,1.5,4,3.970830217,2.953835227,2,1,0.33
33.17,17,1,Footwear,WNS,black,7,3.5,4,2,3,2,0.06
30.99,4,1,Footwear,WNS,black,5.5,3.5,4,2,3,2,0.25
38.6,9,3,Apparel,MNS,black,M,4.040326087,3.970830217,2.953835227,2.950917797,0,0.33
23.55,3,1,Apparel,WNS,gray,S,4,5,2,3,1,0.33
15.76,13,1,Apparel,MNS,gray,L,2.7,2,3,2,3,0.08
12.81,11,1,Apparel,WNS,blue,XS,5,3.970830217,2.953835227,2.950917797,1,0.09
24.63,7,2,Apparel,WNS,gray,M,3.7,4,2.5,2.5,3,0.29
19.7,17,2,Apparel,WNS,gray,XL,3.7,4,2.5,2.5,3,0.12
10.94,10,1,Apparel,WNS,gray,XL,4.4,3.7,2.3,2.5,5,0.1
11.88,9,1,Apparel,MNS,black,XL,4.040326087,3.970830217,2.953835227,2.950917797,0,0.11
10.73,35,2,Apparel,MNS,black,L,4.040326087,3.970830217,2.953835227,2.950917797,0,0.06
